status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
210623000268_10154248975760269,#Foodies!! Log on to www.justdial.com to look for #buffet #restaurants near you.,Timeline Photos,photo,https://www.facebook.com/JustDial/photos/a.218451745268.178591.210623000268/10154248975760269/?type=3,2016-08-27 00:30:02,187,3,10,187,0,0,0,0,0
210623000268_10154269050370269,"31 years ago Jackie Shroff played a masked crusader in the Raj Sippy directed 3D film ""SHIVA KA INSAAF"" and now his son Tiger Shroff dons the crusader`s mask in Remo D` Souza`s ""A FLYING JATT""...(Read More) - Review by Sanjay Mishra",A Flying Jatt | Critics Rating 3/5 | Sanjay | Justdial,link,http://www.justdial.com/Movies/A%2520Flying%2520Jatt%2520(Hindi%2520Movie)/11378676?rname=Sanjay&rid=441615&version=1.0&flg=fb&v=2,2016-08-26 08:57:34,487,7,4,487,0,0,0,0,0
210623000268_10154266099020269,"Nine Lives & Mechanic: Resurrection in cinemas, THIS FRIDAY!
Book tickets now --> jsdl.in/movies",PVR Pictures,photo,https://www.facebook.com/pvr.pictures/photos/a.10150699454225110.452345.200914235109/10154948924275110/?type=3,2016-08-25 09:48:08,119,6,0,119,0,0,0,0,0
210623000268_10154265849710269,"#Mumbai do not miss out on Karvi bloom, that happens once in 8 years!
To know more subscribe to Jdtimes Newsletter http://jsdl.in/jdf",Jdtimes,photo,https://www.facebook.com/1640476686194916/photos/a.1649555458620372.1073741828.1640476686194916/1777896025786314/?type=3,2016-08-25 08:01:37,101,4,0,101,0,0,0,0,0
210623000268_10154265548535269,,Just Dial's cover photo,photo,https://www.facebook.com/JustDial/photos/a.10150765605555269.469341.210623000268/10154265547250269/?type=3,2016-08-25 04:57:03,191,2,8,191,0,0,0,0,0
210623000268_10154262846560269,Go Go Go Govinda!! :),Timeline Photos,photo,https://www.facebook.com/JustDial/photos/a.218451745268.178591.210623000268/10154262846560269/?type=3,2016-08-25 00:34:01,1483,4,64,1472,8,2,1,0,0
210623000268_10154262833615269,"May Makhan Chor bring joy and happiness to you!
Happy Krishna Janmashtami!",Timeline Photos,photo,https://www.facebook.com/JustDial/photos/a.218451745268.178591.210623000268/10154262833615269/?type=3,2016-08-24 11:18:01,3670,13,481,3639,24,1,6,0,0
210623000268_10154262759985269,,PVR Pictures,video,https://www.facebook.com/pvr.pictures/videos/10154952594540110/,2016-08-24 05:35:14,165,2,0,151,6,7,1,0,0
210623000268_10154260410620269,"How many of these do you own?
Time to get season's top picks!! Visit www.justdial.com to locate accessories stores near you.",Timeline Photos,photo,https://www.facebook.com/JustDial/photos/a.218451745268.178591.210623000268/10154260410620269/?type=3,2016-08-24 00:04:00,385,5,28,383,1,1,0,0,0
210623000268_10154249012920269,Every #coffeelover!,Timeline Photos,photo,https://www.facebook.com/JustDial/photos/a.218451745268.178591.210623000268/10154249012920269/?type=3,2016-08-21 23:34:01,440,11,26,430,3,1,6,0,0
210623000268_10154251128180269,"You go girls!!! Congratulations P V Sindhu & Sakshi Malik for making India proud :)
#Rio2016 #GoIndia #GirlPower",Photos from Just Dial's post,photo,https://www.facebook.com/JustDial/photos/a.218451745268.178591.210623000268/10154251113065269/?type=3,2016-08-20 00:39:24,3261,25,90,3234,26,1,0,0,0
210623000268_10154249280300269,"It is always nice to see a movie and go back with a 'happy' and 'feel good' feeling and ""HAPPY BHAG JAYEGI' does just that and no, it is nothing like the Sonam Kapoor flop ""DOLLY KI DOLI""...(Read More) - Review by Sanjay Mishra",Happy Bhag Jayegi | Critics Rating 3/5 | Sanjay | Justdial,link,http://www.justdial.com/Movies/Happy%2520Bhag%2520Jayegi%2520(Hindi%2520Movie)/11378241?rname=Sanjay&rid=439061&version=1.0&flg=fb&v=2,2016-08-19 09:23:54,259,6,4,259,0,0,0,0,0
210623000268_10154245561550269,"Celebrating the bond that is full of love, friendship and fights too.
Happy Raksha Bandhan :)
#siblinglove",Timeline Photos,photo,https://www.facebook.com/JustDial/photos/a.218451745268.178591.210623000268/10154245561550269/?type=3,2016-08-18 00:10:00,3108,9,116,3086,16,3,3,0,0
210623000268_10154243084020269,"May every day of the new year glow with cheer and happiness!
#NavrozMubarak",Timeline Photos,photo,https://www.facebook.com/JustDial/photos/a.218451745268.178591.210623000268/10154243084020269/?type=3,2016-08-17 01:17:13,321,5,9,320,0,1,0,0,0
210623000268_10154240941835269,"A scenic place near Mumbai, Tapola is approximately 25 km from Mahabaleshwar. In addition to the breathtaking views of the lush greenery and Koyna Dam, the Shivsagar Lake attracts travellers, particularly water sports lovers. It is popularly known as Mini Kashmir and is a must-visit during monsoon.
Explore #Tapola with #JDTravel, visit www.justdial.com to plan your trip.",Timeline Photos,photo,https://www.facebook.com/JustDial/photos/a.218451745268.178591.210623000268/10154240941835269/?type=3,2016-08-16 07:27:59,320,4,17,317,0,3,0,0,0
210623000268_10154219060795269,"Here's wishing the Hawa Hawai girl on her birthday! 
Happy Birthday Sridevi :)",Timeline Photos,photo,https://www.facebook.com/JustDial/photos/a.218451745268.178591.210623000268/10154219060795269/?type=3,2016-08-12 23:50:00,1429,67,28,1418,11,0,0,0,0
210623000268_10154230422155269,"Here's what Jdtimes, your weekend planner has got for you this long weekend!

The city of Mumbai is forever buzzing and adventure sports is an amazing way to escape this rush and liberate yourself. Here are River Rafting options around the city for you: 
Blue Bulb
Rs. 899 per person on Weekdays or Rs. 1299 per person on Weekends
Time: 8:30 AM | Duration: 2 hours | Distance: 12 kms
Tripplatform.com 
Rs. 750 per person on Weekdays or Rs. 1500 per person on Weekends
Time: 8:45 am | Duration : 2.5 hours | Distance: 12 kms",Jdtimes,link,http://www.justdial.com/Mumbai/Blue-Bulb-%3Cnear%3E-Andheri-East/022PXX22-XX22-140513115956-R4D9_BZDET,2016-08-12 09:51:58,169,3,0,169,0,0,0,0,0
210623000268_10154219050310269,"Excited to discover the secrets of #MohenjoDaro?
Visit www.justdial.com/movies to book movie tickets.",Timeline Photos,photo,https://www.facebook.com/JustDial/photos/a.218451745268.178591.210623000268/10154219050310269/?type=3,2016-08-11 23:45:01,423,7,18,420,3,0,0,0,0
