status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
117907278302004_1118835158209206,"For non-stop browsing and endless calls, you need to keep your phone battery full. Grab your favourite Power Banks Now bit.ly/2bNRhzu",Timeline Photos,photo,https://www.facebook.com/ShopClues/photos/a.178561535569911.41269.117907278302004/1118835158209206/?type=3,2016-08-23 05:30:00,23,9,0,22,1,0,0,0,0
117907278302004_1118456644913724,Kick off your worries & Enjoy a quick nap on-the-go with this Ostrich pillow. #TravelTuesday  bit.ly/2bvEbVF,Timeline Photos,photo,https://www.facebook.com/ShopClues/photos/a.178561535569911.41269.117907278302004/1118456644913724/?type=3,2016-08-23 00:30:00,82,7,2,72,2,0,7,1,0
117907278302004_1115436631882392,Experience never before picture quality with Kodak LED TVs. Start @ Rs. 13499. bit.ly/2blDuhL,Timeline Photos,photo,https://www.facebook.com/ShopClues/photos/a.178561535569911.41269.117907278302004/1115436631882392/?type=3,2016-08-22 05:30:00,52,10,2,52,0,0,0,0,0
117907278302004_1115420121884043,Still struggling to get it right? Throw the toughest Tongue Twister Challenges to your friends today. #TongueTwisterDay,Timeline Photos,photo,https://www.facebook.com/ShopClues/photos/a.178561535569911.41269.117907278302004/1115420121884043/?type=3,2016-08-22 00:30:01,86,9,8,81,0,0,4,0,1
117907278302004_1115452991880756,It's the Final Lap of #RioOlympics2016. Three Cheers for the Indian Wonder Women who made the nation proud,Timeline Photos,photo,https://www.facebook.com/ShopClues/photos/a.178561535569911.41269.117907278302004/1115452991880756/?type=3,2016-08-21 04:30:01,71,8,1,71,0,0,0,0,0
117907278302004_1115412331884822,The Sunday Flea Market is open! Products Start @ Rs. 15. Get ready to shop more at less bit.ly/2b4yoDA,Timeline Photos,photo,https://www.facebook.com/ShopClues/photos/a.178561535569911.41269.117907278302004/1115412331884822/?type=3,2016-08-21 00:30:00,85,10,7,83,1,1,0,0,0
117907278302004_1115455991880456,"When Angoori flaunts 'Laddu ke Bhaiya ka Gift', Jealous & Unemployed Vibhuti shops from ShopClues to impress Bhabhi Ji",Timeline Photos,photo,https://www.facebook.com/ShopClues/photos/a.178561535569911.41269.117907278302004/1115455991880456/?type=3,2016-08-20 05:30:00,312,21,8,298,3,1,10,0,0
117907278302004_1115511641874891,#PartnersInCrime Congratulations Winners! Please inbox your email Id registered with ShopClues along with your phone number within 72 hours,Timeline Photos,photo,https://www.facebook.com/ShopClues/photos/a.178561535569911.41269.117907278302004/1115511641874891/?type=3,2016-08-20 03:30:00,54,16,1,54,0,0,0,0,0
117907278302004_1114318468660875,Get. Set. Party! Begin the Fun with exclusive party supplies @ pocket-friendly prices. Shop Now bit.ly/2bpENgK,Timeline Photos,photo,https://www.facebook.com/ShopClues/photos/a.178561535569911.41269.117907278302004/1114318468660875/?type=3,2016-08-20 00:30:01,53,12,0,53,0,0,0,0,0
117907278302004_1115554191870636,Way to go girl! You were brilliant & you've made the whole nation proud. Congratulations! Second win in #RioOlympics2016 #Silver,Timeline Photos,photo,https://www.facebook.com/ShopClues/photos/a.178561535569911.41269.117907278302004/1115554191870636/?type=3,2016-08-19 10:28:53,4082,47,302,4014,57,10,0,1,0
