status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
102988293558_10154435539408559,"Fuel-free, registration-free and no driving license required. Check out the Electric Scooters on Flipkart... rev up for convenience & a greener tomorrow!","Comfortable, easy and pocket-friendly - eBikes on Flipkart!",link,https://www.flipkart.com/automotive/automobile/two-wheeler/electric-bikes-scooters/pr?sid=0hx%2C3ww%2Ce4c%2Caby&ocmpid=socialorg_august-2016_fb_social-content_ebikes,2016-08-23 02:34:54,52,0,1,52,0,0,0,0,0
102988293558_10154432847223559,"Apart from amazing fitness-tracking features, the Intex Fitrist Pulzz comes packed with MP3 control, SMS notification & many more features.",You've got to check out the Intex Fitrist Pulzz.,link,https://www.flipkart.com/intex-fitrist-pulzz/p/itmekjwgwpsmb5we?pid=SBNEKJWGEGXHRMQX&ocmpid=socialorg_august-2016_fb_social-content_smartwearables_pulzz,2016-08-22 07:39:58,757,40,11,751,3,0,3,0,0
102988293558_10154432524408559,,The Timeliners,video,https://www.facebook.com/TheTimeliners/videos/1061533910609418/,2016-08-22 04:55:32,12347,45,0,12323,17,6,0,0,1
102988293558_10154432096618559,"If your #MondayMotivation consists of a hot cup of coffee... do it in style.

Quirky Coffee Mugs on Flipkart: http://bit.ly/2beEGlR",Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10154432096618559/?type=3,2016-08-22 00:50:07,31276,63,10,31251,13,4,8,0,0
102988293558_10154424236768559,"No matter what the color of your medal, you will always be a champion in our hearts. Congratulations and well played #PVSindhu.",Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10154424236768559/?type=3,2016-08-19 10:50:22,254951,834,2622,252858,1582,424,76,2,9
102988293558_10154423433018559,"Find your dream camera in our #WorldPhotographyStore!

If you're looking for some fun, join our #FlipPic contest on Twitter now: http://bit.ly/2bCprUB",Cameras and so much more in our #WorldPhotographyDay Store!,link,http://www.flipkart.com/brand/worldphotographyday?screen=dynamic&pk=pageId%3Dworldphotographyday%7EpageType%3DBRAND_PAGE&ocmpid=socialorg_august-2016_fb_social-content_worldphotoday,2016-08-19 05:31:18,860,52,12,860,0,0,0,0,0
102988293558_10154423068848559,"Not 1, not 2, not even 3! Flipkart Assured ensures 6 Quality Checks, so you can shop without any doubts. Watch this video and enjoy the Flipkart kids' adorable response to naysayers. 
Shopping is sure with Flipkart Assured!",Flipkart Assured - Kids Are Back - Madamji's Chequered Bedsheet,video,https://www.facebook.com/flipkart/videos/10154423068848559/,2016-08-19 02:38:14,6496,395,737,6009,115,7,344,3,18
102988293558_10154423057688559,,Flipkart's cover photo,photo,https://www.facebook.com/flipkart/photos/a.10150692261573559.415547.102988293558/10154423057393559/?type=3,2016-08-19 02:24:40,262,44,1,256,2,1,1,0,2
102988293558_10154422971823559,Play it for fun or play it to win – get your hands on the best Badminton gear at our #RiseAtRio store.,Smash it right with our #RiseAtRio store!,link,https://www.flipkart.com/sports-fitness/racquet-sports/badminton/pr?sid=dep%2C9ge%2Ccbh&otracker=ts_brand-riseatrio_NewMerchandisingHorizontalUnit_2-0_merchandisinghorizontal_Badminton&ocmpid=socialorg_august-2016_fb_social-content_riseatrio_badminton,2016-08-19 01:50:21,1898,49,14,1894,1,2,0,0,1
102988293558_10154420536738559,Here's to sibling love... Happy Rakhi!,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10154420536738559/?type=3,2016-08-18 06:43:49,26804,128,10,26772,6,11,15,0,0
